Customer,Permit,Time,Permissions,"Personnel Type (Fac/Staff, Student, Visitor)",Date,Time,Eligible Lots (Not Exhaustive for some examples)
Customer 1,ADA Placard,,,Visitor,09/19/2024,12:00 PM,ERC; Meter/Pay Station Area; Mowatt Lane Garage; Mowatt Visitor; Regents Drive Garage; Stadium Drive Garage; Union Lane Garage; Xfinity Visitor Lot
Customer 2,Surface Lot,Daily,Lot 1,Visitor,03/05/2025,10:15 AM,Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f
Customer 3,No Permit,,,Visitor,02/05/2025,2:00 PM,ERC; Meter/Pay Station Area; Mowatt Lane Garage; Mowatt Visitor; Regents Drive Garage; Stadium Drive Garage; Union Lane Garage; Xfinity Visitor Lot
Customer 4,No Permit,,,Visitor,04/28/2025,4:30 PM,Lot 10a; Lot 11b; Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f; Lot 4a; Lot 4b; Lot 4h; Lot 4m; Lot 4n; Lot 6; Lot 9b; ERC; Meter/Pay Station Area; Mowatt Lane Garage; Mowatt Visitor; Regents Drive Garage; Stadium Drive Garage; Union Lane Garage; Xfinity Visitor Lot
Customer 5,Validation Code/Meter Permit,Daily,Paid Parking Area,Visitor,11/08/2024,2:30 PM,ERC; Meter/Pay Station Area; Mowatt Lane Garage; Mowatt Visitor; Regents Drive Garage; Stadium Drive Garage; Union Lane Garage; Xfinity Visitor Lot
Customer 40,Basketball Permit,Daily,,Visitor,02/28/2024,7:00 PM,Regents Drive Garage
Customer 41,Hearing and Speech Clinic Permit,Daily,,Visitor,09/16/2024,11:15 AM,A
Customer 42,Event Attendee (Reserved parking provided),Daily,ULG,Visitor,02/12/2025,9:30 AM,Union Lane Garage
Customer 43,Event Attendee (Parking not provided),,,Visitor,01/25/2025,1:45 PM,Lot 10a; Lot 11b; Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f; Lot 4a; Lot 4b; Lot 4m; Lot 4n; Lot 6; Lot 9b; ERC; Meter/Pay Station Area; Mowatt Lane Garage; Mowatt Visitor; Regents Drive Garage; Stadium Drive Garage; Union Lane Garage; Xfinity Visitor Lot
Customer 44,Visitor After Hours Permit,,Visitor After Hours,Visitor,03/28/2025,8:00 PM,Lot 10a; Lot 11b; Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f; Lot 4a; Lot 4b; Lot 4h; Lot 4m; Lot 4n; Lot 6; Lot 9b; ERC; Meter/Pay Station Area; Mowatt Lane Garage; Mowatt Visitor; Regents Drive Garage; Stadium Drive Garage; Union Lane Garage; Xfinity Visitor Lot
Customer 45,Time & Materials Permit,Daily,T&M,Visitor,04/29/2025,11:15 AM,State Vehicle or Service Vehicle spaces
Customer 46,Service Permit,Daily,Service,Visitor,10/30/2024,10:45 AM,State Vehicle or Service Vehicle spaces
Customer 6,Annual FS Permit,Annual,RR,Faculty/Staff,12/17/2024,9:15 AM,A; AA; B; BB; C1; C2; CC; DD; E; F; FF; G; GG; GG2; HH; II; J; JJ1; JJ3; K; KK; L; LL; Lot 11b; Lot 15; Lot 16a; Lot 16b; Lot 16f; Lot 17a; Lot 17b; Lot 17c; Lot 17d; Lot 19; Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f; Lot 2a; Lot 2f; Lot 3 (NEW); Lot 3 (OLD); Lot 4a; Lot 4b; Lot 4h; Lot 6; Lot 9b; R2; MM; N1/4/6/8/9; N3/7; N5; NN; O1/3; O5; P; PH1; Q; Q1; QQ; R; RR; S3/4; S7/8; S9; SA; SDG; SDStar; SS; Stadium Drive Garage; T; TT; TV; U1; U2; UU; V; VM; W; W2; X; XX; Y; YC; YY; Z; 
Customer 7,Semester FS Permit,Semester,A,Faculty/Staff,11/06/2024,3:55 PM,A; HH; K; Lot 11b; Lot 15; Lot 16a; Lot 16b; Lot 16f; Lot 17a; Lot 17b; Lot 17c; Lot 17d; Lot 19; Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f; Lot 2a; Lot 3 (NEW); Lot 3 (OLD); Lot 4a; Lot 4b; Lot 4h; Lot 6; Lot 9b; P; Stadium Drive Garage; U1; U2; V; X; XX; Z
Customer 8,FS Bundle Pack (2 Day/Week),Daily,Z,Faculty/Staff,02/19/2024,7:35 AM,K; P; U; V; X1; XX1; Z; Stadium Drive Garage; Lot 11b; Lot 15; Lot 16a; Lot 16b; Lot 16f; Lot 17a; Lot 17b; Lot 17c; Lot 17d; Lot 19; Lot 1b; Lot 1c; Lot 1d; Lot 1e; Lot 1f; Lot 2a; Lot 2b; Lot 2f; Lot 3 (NEW); Lot 3 (OLD); Lot 4a; Lot 4b; Lot 4h; Lot 4k; Lot 4m; Lot 4n; Lot 6; Lot 9b
